,0,1,2,3
0,Country of Origin,Uganda,Number of Bags,240
1,Farm Name,Buginyanya,Bag Weight,60 kg
2,Lot Number,4-Buginyanya,In-Country Partner,Coffee Laboratory LTD
3,Mill,Mbale Importers And Exporters,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"May 10th, 2022"
5,Company,Mount Elgon Coffee And Honey Co-Operative LTD,Owner,ROGERS WASIBI
6,Altitude,1920-2300,Variety,SL14
7,Region,Sipi-Bulambuli Origin,Status,Completed
8,Producer,Mount Elgon Coffee And Honey Coop,Processing Method,Washed / Wet
