,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,4
1,Farm Name,可納咖啡莊園Ke Na Coffee Mamor,Bag Weight,50 kg
2,Lot Number,1,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,可納咖啡莊園Ke Na Coffee Mamor,Harvest Year,2022
4,ICO Number,,Grading Date,"April 6th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,"CHEN,CING-JHANG 陳慶璋"
6,Altitude,1200,Variety,Typica
7,Region,"雲林縣古坑鄉 Gukeng Township, Yunlin County",Status,Completed
8,Producer,"陳慶璋 Chen, Qing-Zhang",Processing Method,Pulped natural / honey
