,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,皇庭咖啡莊園Huang Ting Coffee Mamor,Bag Weight,60 kg
2,Lot Number,1,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,皇庭咖啡莊園Huang Ting Coffee Mamor,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"April 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,CHEN RONG FENG
6,Altitude,800,Variety,Gesha
7,Region,"雲林縣古坑鄉 Gukeng Township, Yunlin County",Status,Completed
8,Producer,"陳榮豐 Chen, Rong Feng",Processing Method,Natural / Dry
