,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,275
1,Farm Name,Blend,Bag Weight,70 kg
2,Lot Number,3-0960-01779,In-Country Partner,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE
3,Mill,Sucafina Trilladora Neiva,Harvest Year,2021 / 2022
4,ICO Number,3-0960-,Grading Date,"April 22nd, 2022"
5,Company,Sucafina Colombia SAS,Owner,Sucafina Colombia SAS
6,Altitude,1800,Variety,Caturra
7,Region,Huila,Status,Completed
8,Producer,Colombia Excelso Q Arabica Certified,Processing Method,Washed / Wet
