,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,275
1,Farm Name,SAN FRANCISCO COTZAL,Bag Weight,69 kg
2,Lot Number,11/441/40,In-Country Partner,Asociacion Nacional Del Café
3,Mill,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",Harvest Year,2021 / 2022
4,ICO Number,11/441/40,Grading Date,"February 4th, 2022"
5,Company,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",Owner,Angelica Paola Citan Lopez
6,Altitude,1600,Variety,Caturra
7,Region,QUICHÉ,Status,Completed
8,Producer,SAN FRANCISCO COTZAL,Processing Method,Washed / Wet
