,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,275
1,Farm Name,Asociacion Tayronaca,Bag Weight,70 kg
2,Lot Number,NPCO-17418,In-Country Partner,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE
3,Mill,Trilladora Santa Tirsa,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"May 11th, 2022"
5,Company,Sucafina NA,Owner,Sucafina Colombia SAS
6,Altitude,2100,Variety,Castillo and Colombia blend
7,Region,Sierra Nevada de Santa Marta,Status,Completed
8,Producer,Grupo Tap,Processing Method,Washed / Wet
