,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,250
1,Farm Name,Cerro Negro,Bag Weight,69 kg
2,Lot Number,4124,In-Country Partner,Instituto Hondureño del Café
3,Mill,SECO,Harvest Year,2021
4,ICO Number,13-108-1383,Grading Date,"August 13th, 2021"
5,Company,Compañia Hondureña del Café S.A. de C.V.,Owner,Compañia Hondureña del Cafe S.A de c.v.
6,Altitude,1400,Variety,Catimor
7,Region,"Zona de Santa Marta, municipio de San Marcos, departamento de Ocotepeque, Honduras",Status,Completed
8,Producer,Feliciano Rivera,Processing Method,Washed / Wet
