,0,1,2,3
0,Country of Origin,Nicaragua,Number of Bags,275
1,Farm Name,Finca Aurora,Bag Weight,69 kg
2,Lot Number,1,In-Country Partner,Blossom Valley International宸嶧國際
3,Mill,Beneficio Seco Finca Aurora,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"March 11th, 2022"
5,Company,Mr.Brown Cafe,Owner,MR.BROWN CAFE
6,Altitude,1200-1350,Variety,Caturra-Catuai
7,Region,"Matagalpa, Nicaragua",Status,Completed
8,Producer,Sabio Coffee - Enrique Ferrufino & Tania Ferrufino,Processing Method,Washed / Wet
