,0,1,2,3
0,Country of Origin,Ethiopia,Number of Bags,100
1,Farm Name,Faiza Alewi,Bag Weight,60 kg
2,Lot Number,TCE20/21-1,In-Country Partner,METAD Agricultural Development plc
3,Mill,DUMERSO INDUSTRIAL TRADING PLC,Harvest Year,2021
4,ICO Number,10/0828,Grading Date,"April 14th, 2022"
5,Company,Temerachi Coffee Export,Owner,DAWITGIRMA woldetsadik
6,Altitude,1850,Variety,Ethiopian Heirlooms
7,Region,Gedio zone Yirgacheffe,Status,Completed
8,Producer,TEMERACHI COFFEE EXPORT,Processing Method,Natural / Dry
