,0,1,2,3
0,Country of Origin,Brazil,Number of Bags,325
1,Farm Name,Capim Seco,Bag Weight,59 kg
2,Lot Number,VJP-Q-2021-001,In-Country Partner,Brazil Specialty Coffee Association
3,Mill,Copag Varginha,Harvest Year,2021 / 2022
4,ICO Number,002/164-3/0061,Grading Date,"October 25th, 2021"
5,Company,Man Volcafe Brasil Ltda.,Owner,ED&F Man Volcafe Brasil Ltda.
6,Altitude,1115,Variety,Yellow Bourbon
7,Region,Carmo de Minas - MG,Status,Completed
8,Producer,Maria Rogeria Costa Pereira,Processing Method,Natural / Dry
