,0,1,2,3
0,Country of Origin,Uganda,Number of Bags,320
1,Farm Name,Bushimwemwe Firefly,Bag Weight,60 kg
2,Lot Number,3-Bushimwemwe Firefly Cofffee,In-Country Partner,Coffee Laboratory LTD
3,Mill,Mbale Importers And Exporters,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"May 10th, 2022"
5,Company,Mount Elgon Coffee And Honey Co-Operative LTD,Owner,ROGERS WASIBI
6,Altitude,1920-2300,Variety,SL14
7,Region,Bududa Origin,Status,Completed
8,Producer,Mount Elgon Coffee And Honey Co-Op,Processing Method,Washed / Wet
