,0,1,2,3
0,Country of Origin,Brazil,Number of Bags,325
1,Farm Name,Multiple farms,Bag Weight,59 kg
2,Lot Number,1,In-Country Partner,Blossom Valley International宸嶧國際
3,Mill,Cooperativa de Monte Carmelo,Harvest Year,2021
4,ICO Number,,Grading Date,"February 11th, 2022"
5,Company,Mr.Brown Cafe,Owner,MR.BROWN CAFE
6,Altitude,800-1100,Variety,"Mundo Novo, Catuai"
7,Region,Cerrado,Status,Completed
8,Producer,GRA 1 - GRUPO RAINFOREST ALLIANCE MONTECCER - MONTE CARMELO - IMA-G-000043 (RFA),Processing Method,Natural / Dry
