,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,275
1,Farm Name,Cooperativa Central de Caficultores del Huila - COOCENTRAL,Bag Weight,70 kg
2,Lot Number,1,In-Country Partner,Blossom Valley International宸嶧國際
3,Mill,Almacafé,Harvest Year,2021
4,ICO Number,,Grading Date,"February 8th, 2022"
5,Company,Mr.Brown Cafe,Owner,MR.BROWN CAFE
6,Altitude,1574,Variety,"Castillo, Caturra"
7,Region,HUILA,Status,Completed
8,Producer,Cooperativa Central de Caficultores del Huila - COOCENTRAL,Processing Method,Washed / Wet
