,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,卓武山咖啡農場Zhou Wu Mountain Coffee Farm,Bag Weight,30 kg
2,Lot Number,1,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,卓武山咖啡農場Zhou Wu Mountain Coffee Farm,Harvest Year,2022
4,ICO Number,,Grading Date,"April 6th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Hsu Ting Yey許定燁
6,Altitude,1200,Variety,Gesha
7,Region,"嘉義縣 Alishan Township, Chiayi County",Status,Completed
8,Producer,"許定燁 Hsu, Ying-Yeh",Processing Method,Natural / Dry
