,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,369
1,Farm Name,,Bag Weight,30 kg
2,Lot Number,11/951/511,In-Country Partner,Asociacion Nacional Del Café
3,Mill,BENEFICIO SAMA,Harvest Year,2021 / 2022
4,ICO Number,11/951/511,Grading Date,"February 16th, 2022"
5,Company,"OLAM AGRO GUATEMALA, S. A.",Owner,Angelica Paola Citan Lopez
6,Altitude,1400,Variety,"Pache, Bourbon, Catuai and Anacafe 14"
7,Region,Santa Rosa,Status,Completed
8,Producer,"AMIAGRO, BRISAS DEL RÍO, AMILCAR LA POLA, BENEFICIO SAMA",Processing Method,Washed / Wet
