,0,1,2,3
0,Country of Origin,Honduras,Number of Bags,240
1,Farm Name,"El Ejido, Las Mariposas, cerro gacho y el planon",Bag Weight,69 kg
2,Lot Number,206,In-Country Partner,Instituto Hondureño del Café
3,Mill,el cafe es seleccionado y cortado a mano luego es procesado en su propio centro de beneficiado en Santa Rosa de copan,Harvest Year,2021
4,ICO Number,13-154-122A,Grading Date,"June 11th, 2021"
5,Company,Coffee planet Corporation S.A,Owner,Janny Marlith Torres
6,Altitude,1600,Variety,Catuai
7,Region,Copan,Status,Completed
8,Producer,Origenes Coffee Plantation,Processing Method,Washed / Wet
