,0,1,2,3
0,Country of Origin,Brazil,Number of Bags,13
1,Farm Name,Sitio Colinas,Bag Weight,10 kg
2,Lot Number,CQU2022007,In-Country Partner,Japan Coffee Exchange
3,Mill,COCARIVE,Harvest Year,2021 / 2022
4,ICO Number,002/1469/0412,Grading Date,"April 7th, 2022"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,1000,Variety,Yellow Bourbon
7,Region,"Mantiqueira de Minas, Minas Gerais",Status,Completed
8,Producer,Luiz Flavio Pereira de Castro,Processing Method,Pulped natural / honey
