,0,1,2,3
0,Country of Origin,"Tanzania, United Republic Of",Number of Bags,167
1,Farm Name,TARAKEA,Bag Weight,60 kg
2,Lot Number,CN 412720047/4189220115,In-Country Partner,Kenya Coffee Traders Association
3,Mill,GOURMET COFFEE MILL,Harvest Year,2021 / 2022
4,ICO Number,033/DE/101/014 and 033/DE/45/001,Grading Date,"March 11th, 2022"
5,Company,C.DORMAN SEZ LTD,Owner,Gilbert Maina
6,Altitude,1300-1500,Variety,Catimor
7,Region,KILIMANJARO,Status,Completed
8,Producer,DORMAN (T) LTD,Processing Method,Washed / Wet
