,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,275
1,Farm Name,san francisco cotzal,Bag Weight,69 kg
2,Lot Number,11/441/49,In-Country Partner,Asociacion Nacional Del Café
3,Mill,"inmobiliaria e inversiones dos mil, s.a.",Harvest Year,2021 / 2022
4,ICO Number,11/441/49,Grading Date,"May 19th, 2022"
5,Company,"inmobiliaria e inversiones dos mil, s.a.",Owner,Angelica Paola Citan Lopez
6,Altitude,1600,Variety,Caturra
7,Region,quiche,Status,Completed
8,Producer,san francisco cotzal,Processing Method,Washed / Wet
