,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,東山高峰咖啡園（Dong Shan Gao Fong Coffee Garden ),Bag Weight,20 kg
2,Lot Number,2021 臺南市精品咖啡評鑑批次,In-Country Partner,Alliance for Coffee Excellence
3,Mill,東山高峰咖啡園（Dong Shan Gao Fong Coffee Garden ),Harvest Year,2020
4,ICO Number,,Grading Date,"June 9th, 2021"
5,Company,Taiwan Coffee Laboratory 台灣咖啡研究室,Owner,"Lin, Che-Hao Krude 林哲豪"
6,Altitude,650-700,Variety,Gesha
7,Region,"Dongshan Dist.,Tainan City",Status,Completed
8,Producer,陳得 （Chen De),Processing Method,Pulped natural / honey
