,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,花囍田咖啡莊園Hua Xi Tian Manor Cafe',Bag Weight,35 kg
2,Lot Number,1101118,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,花囍田咖啡莊園Hua Xi Tian Manor Cafe',Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"April 6th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Huaxitian
6,Altitude,1080,Variety,Yellow Bourbon
7,Region,"雲林縣古坑鄉 Gukeng Township, Yunlin County",Status,Completed
8,Producer,"林貝珊 Lin, Pei-Shan",Processing Method,Natural / Dry
