,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,國村咖啡莊園Guo Cun Manor Coffee,Bag Weight,20 kg
2,Lot Number,11010-1,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,國村咖啡莊園Guo Cun Manor Coffee,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"April 6th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Steven_Chang 張智閔
6,Altitude,230,Variety,Typica
7,Region,"彰化縣彰化市 Changhua City, Changhua County",Status,Completed
8,Producer,張智閔 Steven,Processing Method,Pulped natural / honey
