,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,275
1,Farm Name,,Bag Weight,19250 kg
2,Lot Number,3-01-14115,In-Country Partner,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE
3,Mill,Almacafé Medellín - Trilladora Bello,Harvest Year,2021
4,ICO Number,3-01-14115,Grading Date,"June 8th, 2021"
5,Company,Federación Nacional de Cafeteros,Owner,Federación Nacional de Cafeteros - Logística Comercial
6,Altitude,1600,Variety,Castillo
7,Region,Antioquia,Status,Completed
8,Producer,FNC - Several coffee growers,Processing Method,Washed / Wet
