,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,螢之光咖啡Hikari Coffee Roaster,Bag Weight,27 kg
2,Lot Number,212210,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,螢之光咖啡Hikari Coffee Roaster,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"April 6th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,CHENG Yu Chen鄭羽辰
6,Altitude,800,Variety,Typica
7,Region,"雲林縣古坑鄉 Gukeng Township, Yunlin County",Status,Completed
8,Producer,"劉淑芳 Liu, Shu-Fang",Processing Method,Pulped natural / honey
