,0,1,2,3
0,Country of Origin,Guatemala,Number of Bags,635
1,Farm Name,SAN RAFAEL URIAS VALDES,Bag Weight,30 kg
2,Lot Number,AMNI-22-0905,In-Country Partner,Asociacion Nacional Del Café
3,Mill,"BENEFICIO SANTA RITA, S. A.",Harvest Year,2021 / 2022
4,ICO Number,11/54876/01,Grading Date,"May 19th, 2022"
5,Company,Asociación Nacional del Cafe,Owner,Angelica Paola Citan Lopez
6,Altitude,4895 A 5650,Variety,Bourbon
7,Region,ANTIGUA GUATEMALA,Status,Completed
8,Producer,"VALBROS, S. A.",Processing Method,Washed / Wet
