,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,250
1,Farm Name,Federación Nacional de Cafeteros de Colombia,Bag Weight,70 kg
2,Lot Number,3/0960/02324,In-Country Partner,Japan Coffee Exchange
3,Mill,Federación Nacional de Cafeteros de Colombia,Harvest Year,2020
4,ICO Number,03/0960/02324,Grading Date,"December 10th, 2021"
5,Company,"NIPPON COFFEE TRADING CO.,LTD.",Owner,Yukinobu Ueda
6,Altitude,1700,Variety,Caturra
7,Region,Huila,Status,Completed
8,Producer,Federación Nacional de Cafeteros de Colombia,Processing Method,Washed / Wet
