,0,1,2,3
0,Country of Origin,Colombia,Number of Bags,1
1,Farm Name,Finca El Paraiso,Bag Weight,30 kg
2,Lot Number,CQU2022001,In-Country Partner,Japan Coffee Exchange
3,Mill,Finca El Paraiso,Harvest Year,2021
4,ICO Number,,Grading Date,"January 28th, 2022"
5,Company,Coffee Quality Union,Owner,Coffee Quality Union
6,Altitude,1700-1930,Variety,Castillo
7,Region,"Cauca Department, municipality of Piendamo",Status,Completed
8,Producer,Diego Samuel Bermudez,Processing Method,Double anaerobic fermentation
