,0,1,2,3
0,Country of Origin,Vietnam,Number of Bags,3
1,Farm Name,The Coffee Farmer,Bag Weight,60 kg
2,Lot Number,SV-ICP VN008,In-Country Partner,Stone Village Lab & Institute Of Quality
3,Mill,The Coffee Farmer,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"March 31st, 2022"
5,Company,Stone Village Lab ICP - Vietnam,Owner,Stone Village Lab & Education
6,Altitude,800,Variety,Robusta
7,Region,Gia Lai,Status,Completed
8,Producer,"Mr. Kaldi Tai, Mr. Xuan Son",Processing Method,Anaerobic Natural
