,0,1,2,3
0,Country of Origin,India,Number of Bags,170
1,Farm Name,Sethuraman Estate,Bag Weight,60 kg
2,Lot Number,14/1148/2021/28,In-Country Partner,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
3,Mill,Kaapi Royale,Harvest Year,2021
4,ICO Number,14/1148/2021/28,Grading Date,"November 29th, 2021"
5,Company,Kaapi Royale,Owner,Nishant Gurjer
6,Altitude,947,Variety,CxR Robusta
7,Region,"Honey Tree,Sethuraman Estate Magundi",Status,Completed
8,Producer,Nishant Gurjer,Processing Method,Washed / Wet
